" The customer doesn't exist in the system anymore","Zákazník se již v systému nevyskytuje"
" [deleted]","[smazáno]"
" and "," a "
"%s (Default Template from Locale)","%s (Výchozí šablona z překladu)"
"%s cache type(s) disabled.","%s vyrovnávací paměť vypnuta."
"%s cache type(s) enabled.","%s vyrovnávací paměť povolena."
"%s cache type(s) refreshed.","%s vyrovnávací paměti obnoveny."
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutní nebo realativní cesta k Magento kořenové instalaci, např. var/export)"
"(For US 2-letter state names)","(Pro USA 2-znakové jméno státu)"
"(If left empty will be auto-generated)","(Pokud ponecháte prázdné bude vygenerován automaticky)"
"(Leave empty for first spreadsheet)","(Ponechte prázdné pro první sešit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude přidán/upraven do tohoto obchodu, pokud je sloupec prázdný nebo chybí v importním souboru.)"
"(Shift-)Click or drag to change value","(Shift-) Klik nebo tažením změníte hodnotu"
"(Starting with)","(počínaje)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokud 'Ne', budou importovány pouze přiřazená pole. Pokud přiřazujete pole použijte 'sloupec1', 'sloupec2', atd.)"
"(You have to increase php memory_limit before changing this value)","(Musíte zvednout php memory_limit než změníte tuto hodnotu)"
"(\\t for tab)","(\\t pro tabelátor)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - když probíhá indexování, bude ukončeno a nové indexování se spustí"
"- Click on any of the time parts to increase it","- Kliknutím na některou z částí se její počet zvýší"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačítko myši nad některým z výše uvedených tlačítek pro rychlejší výběr."
"- Use the %s buttons to select month","- Použijte %s pro výběr měsíce"
"- Use the %s, %s buttons to select year","- Použijte %s, %s pro výběr roku"
"- or Shift-click to decrease it","- nebo Shift-klik pro snížení"
"- or click and drag for faster selection.","- nebo klik a tažení pro rychlé označení."
"-- Please Select --","-- Prosím vyberte --"
"-- Please select --","-- Prosím vyberte --"
"-- Please select a category --","-- Vyberte kategorii --"
"--Please Select--","-- Prosím vyberte --"
"1 Hour","1 hodina"
"12 Hours","12 hodin"
"12h AM/PM","12h"
"2 Hours","2 hodiny"
"24 Hours","24 hodin"
"24h","24h"
"2YTD","za rok"
"6 Hours","6 hodin"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Stránka nenalezena.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Nové heslo bylo odesláno na Vaší emailovou adresu. Prosím zkontrolujte svůj email a klikněte zpět na přihlášení."
"Abandoned Carts","Opuštěné vozíky"
"About the calendar","O kalendáři"
"Access Denied.","Přístup zamítnut."
"Access Deny","Zamítnout přístup"
"Access denied","Přístup zamítnut"
"Access denied.","Přístup zamítnut."
"Account Created in:","Účet vytvořen v:"
"Account Created on (%s):","Účet vytvořen v (%s):"
"Account Created on:","Účet vytvořen v:"
"Account Information","Informace o účtu"
"Account status","Stav účtu"
"Account successfully saved","Účet byl úspěšně uložen"
"Action","Událost"
"Actions","Akce"
"Actions XML","Události XML"
"Active","Aktivní"
"Add","Přidat"
"Add Author","Přidat autora"
"Add Contents Path","Přidat obsah Cesta"
"Add Exception","Přidat výjimku"
"Add Field Mapping","Přidejte pole mapování"
"Add Field with URL:","Přidat pole s URL:"
"Add New Image","Přidat nový obrázek"
"Add New Profile","Přidat nový profil"
"Add New Role","Přidat novou roli"
"Add New Template","Přidat novou šablonu"
"Add New URL Rewrite","Přidat nový přepis url"
"Add New User","Přidat nového uživatele"
"Add New Variable","Přidat novou proměnnou"
