"3D Secure CAVV",""
"3D Secure Card Validation",""
"3D Secure Cardholder Validation",""
"3D Secure Electronic Commerce Indicator",""
"3D Secure Verification Result",""
"3D Secure XID",""
"Card Issuer Liability",""
"Card Verification",""
"Enrolled",""
"Enrolled but Authentication Unavailable",""
"Failed",""
"MasterCard SecureCode",""
"Merchant Liability",""
"Not Enrolled",""
"Order cannot be placed.",""
"Payment information error. Please start over.",""
"Please continue with placing order.",""
"Please verify the card with the issuer bank before placing the order.",""
"Please verify the card with the issuer bank:",""
"Start/Reset Validation...",""
"Successful",""
"Successful attempt",""
"The card has failed verification with issuer bank.",""
"This card has failed validation and cannot be used.",""
"This card has failed validation, but it is possible to place the order.",""
"To ensure the security of your transactions",""
"Unable to complete",""
"Validation failed.",""
"Verification Failed",""
"Verification Successful",""
"Verified by Visa",""
