"%s was added to your shopping cart.","%s byl úspěšně přidán do košíku."
"* Required Fields","* Povinná pole"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidat nové pravidlo"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Address","Adresa"
"Address %s of %s","Adresa <span class=""shipment-count"">%s</span> z %s"
"After Adding a Product Redirect to Shopping Cart","Po přidání produktu přejít do košíku"
"Allow Guest Checkout","Povolit nákup návštěvníkům"
"Already registered?","Už máte registraci?"
"An error occurred in the process of payment","Vyskytla se chyba při zpracování platby"
"An error occurred while deleting this condition.","Chyba při mazání podmínky."
"An error occurred while saving this condition.","Chyba při ukládání podmínky."
"Apply Coupon","Použít kupón"
"Are you sure you would like to remove this item from the shopping cart?","Určitě chcete tuto položku vyjmout z košíku?"
"Back","Zpět"
"Back to Billing Information","Zpět k fakturačním informacím"
"Back to Select Addresses","Zpět na výběr adres"
"Back to Shipping Information","Zpět k dodacím informacím"
"Back to Shopping Cart","Zpět do košíku"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás mohly zajímat následující položky:"
"Billing Address","Fakturační adresa"
"Billing Information","Platební údaje"
"Billing Information - %s","Platební údaje - %s"
"Cancel Coupon","Zrušit kupón"
"Cannot add item to the shopping cart.","Položku nelze přidat do košíku."
"Cannot add the item to shopping cart","Položku nelze přidat do košíku"
"Cannot add the item to shopping cart.","Položku nelze přidat do košíku."
"Cannot apply the coupon code.","Kupón nelze použít."
"Cannot open the overview page","Nelze otevřít stránky s celkovým přehledem"
"Cannot remove the item.","Položku nelze odebrat."
"Cannot update shopping cart.","Nelze aktualizovat nákupní košík."
"Card Verification Number Visual Reference","Ověřovací číslo karty"
"Cart Subtotal:","Celkem v košíku:"
"Change","Změna"
"Change Billing Address","Změnit fakturační adresu"
"Checkbox Text","Text zaškrtávacího pole"
"Checkout","Platba"
"Checkout Conditions","Pravidla plateb"
"Checkout Method","Platební metoda"
"Checkout Options","Možnosti platby"
"Checkout Section","Platby"
"Checkout Terms and Conditions","Podmínky platby"
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"Checkout with Multiple Addresses","Zaplatit s více adresami"
"City","Město"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Stiskněte <a href=""%s"" onclick=""this.target='_blank'"">zde vytisknete</a> kopii potvrzení Vaší objednánvky."
"Click <a href=""%s"">here</a> to continue shopping.", "Klikněte <a href=""%s"">zde</a> pro pokračování v nákupu."
"Close","Zavřít"
"Company","Společnost"
"Condition Name","Jméno podmínky"
"Configurable Product Image","Obrázek nastavitelného produktu"
"Confirm Password","Potvrdit heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (css)"
"Continue","Pokračovat"
"Continue Shopping","Pokračovat v nákupu"
"Continue to Billing Information","Pokračovat k platebním údajům"
"Continue to Review Your Order","Pokračovat ke kontrole objednávky"
"Continue to Shipping Information","Pokračovat k dodacím údajům"
"Country","Země"
"Coupon code ""%s"" is not valid.","""%s"" kód kupónu není správný."
"Coupon code ""%s"" was applied.","Kód kupónu ""%s"" byl úspěšně aplikován."
"Coupon code was canceled.","Kód kupónu byl úspěšně zrušen."
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit dodací adresu"
"Data saving problem","Chyba při ukládání dat"
"Default Billing","Výchozí fakturační"
"Default Shipping","Výchozí dodací"
"Delete Condition","Smazat pravidlo"
"Details","Detaily"
"Disabled","Neaktivní"
"Discount Codes","Slevové kódy"
"Display Cart Summary","Zobrazit souhrn košíku"
"Display Shopping Cart Sidebar","Zobrazit postranní lištu košíku"
"Display item quantities","Zobrazit množství položek"
"Display number of items in cart","Zobrazit množství položek v košíku"
"Easy access to your order history and status","Snadný přístup k historii a stavu Vašich objednávek"
"Edit","Upravit"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Items","Upravit položky"
"Edit Shipping Address","Upravit dodací adresu"
"Edit Terms and Conditions","Upravit pravidla a podmínky"
"Edit Your Cart","Upravit košík"
"Email Address","Emailová adresa"
"Enable Onepage Checkout","Povolit jednostránkové platby"
"Enable Terms and Conditions","Zapnout podmínky"
"Enabled","Aktivní"
"Enter a New Address","Zadat novou adresu"
"Enter your coupon code if you have one.","Vložte kód kupónu pokud ho vlastníte."
"Enter your destination to get a shipping estimate.","Pro odhad poštovného zadejte místo určení."
"Estimate Shipping and Tax","Odhad poštovného a daní"
"Excl. Tax","Bez daně"
"Fast and easy check out","Rychle a snadné placení"
"Fax","Fax"
"Forgot an Item?","Zapomněli jste na něco?"
"Forgot your password?","Zapomněli jste heslo?"
"Get a Quote","Poptat se"
"Grand Total:","Celkem:"
"Grouped Product Image","Obrázek skupiny produktů"
"HTML","HTML"
"ID","ID"
