"API Login ID","API ID přihlášení"
"Accepted Currency","Povolené měny"
"Authorize Only","Pouze pro autorizované"
"Authorize and Capture","Autorizovat a přijmout"
"Authorize.net","Authorize.net"
"Credit Card Types","Typ platební karty"
"Credit Card Verification","Ověření platební karty"
"Debug","Ladění"
"Email Customer","Zákaznický email"
"Enabled","Aktivní"
"Error in capturing the payment.","Chyba při příjmu platby."
"Error in payment gateway.","Chyba v platební bráně."
"Error in refunding the payment.","Chyba při placení."
"Gateway error: %s","Chyba brány: %s"
"Invalid amount for authorization.","Chybné množství pro autorizaci."
"Invalid transaction ID.","Chybné ID transakce."
"Maximum Order Total","Maximální objednávka"
"Merchant's Email","Email obchodníka"
"Minimum Order Total","Minimální objednávka"
"New Order Status","Nový stav objednávky"
"Payment Action","Platební akce"
"Payment authorization error.","Chyba při autorizaci platby."
"Payment authorization transaction has been declined.","Platba byla zamítnuta."
"Payment from Applicable Countries","Platby z použitelných zemí"
"Payment from Specific Countries","Platby z vybraných zemí"
"Sort Order","Pořadí objednávek"
"Test Mode","Testovací režim"
"Title","Nadpis"
"Transaction Key","Klíč transakce"
