"--Please Select--","-- Prosím vyberte --"
"3D Secure Card Validation","Ověření platební karty"
"3D Secure Credit Card Validation","Ověření platební karty"
"<label>Make Check payable to:</label> %s","<label>Vyrobit šek splatný pro</label>: %s"
"<label>Make Check payable to</label>: %s","<label>Vyrobit šek splatný pro</label>: %s"
"Automatically invoice all items","Vyfakturovat automaticky všechny položky"
"Cannot load configuration for payment method ""%s""","Nelze nastavit platební metodu s kódem: %s"
"Cannot retrieve payment info model object.","Nelze obdržet informace z modelu objektu platby."
"Cannot retrieve payment method instance","Nelze získat instanci modelu platby"
"Cannot retrieve payment method model object.","Nelze obdržet metody z modelu objektu platby."
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Centinel API URL","Centinel API URL"
"Check / Money order","Šek / hotovostní platba"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Card Types","Typ platební karty"
"Enabled","Aktivní"
"Expiration Date","Datum platnosti"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Issue Number","Číslo požadavku"
"Make Check payable to","Vyrobit šek splatný pro"
"Make Check payable to: %s","Vyrobit šek splatný pro: %s"
"Maximum Order Total","Maximální objednávka"
"Merchant Id","Id obchodníka"
"Minimum Order Total","Minimální objednávka"
"Month","Měsíc"
"N/A","N/A"
"Name on Card","Jméno na kartě"
"Name on the Card","Jméno na kartě: %s"
"Name on the Card: %s","Jméno na kartě: %s"
"New order status","Nový stav objednávky"
"Not supported currency code %s.","Nepodporovaný kód měny %s."
"Overrides API URL that may be specified by a Payment Method","Overrides API URL that may be specified by a Payment Method"
"Password","Heslo"
"Payment ID: %s","Platební metoda"
"Payment Methods","Platební metoda"
"Payment Methods Section","Platební metody"
"Payment Services","Platební metoda"
"Payment from Specific countries","Placení pro vybrané země"
"Payment from applicable countries","Placení pro použitelné země"
"Processor Id","Processor Id"
"Purchase Order Number","Číslo objednávky"
"Purchase Order Number: %s","Objednávka číslo: %s"
"Purchase order","Objednávka"
"Request Card Security Code","Request Card Security Code"
"Saved CC","Uložené kreditní karty"
"Send Check to","Poslat šek"
"Send Check to:","Poslat šek:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Sort order","Pořadí objednávek"
"Start Date","Platná od"
"Switch/Solo Issue Number","Switch/Solo Issue Number"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo Start Date","Switch/Solo Start Date"
"Test Mode","Testovací režim"
"Title","Nadpis"
"What is this?","Co to je?"
"Year","Rok"
"Zero Subtotal Checkout","Nulová celková částka"
