" The customer doesn't exist in the system anymore","Zákazník již v systému neexistuje"
"""%s"" coupon code is not valid.","""%s"" kód kupónu není správný."
"%s","%s"
"%s / %s rate:","%s / %s sazba:"
"%s for %s","%s pro %s"
"%s order(s) can not be canceled","Objednávka číslo %s nemůže být zrušena"
"%s order(s) not put on hold","Objednávka číslo %s nemůže být pozdržena."
"%s order(s) not released from holding status","Objednávka číslo %s nemůže být dokončena z pozdrženého stavu"
"%s order(s) successfully canceled","%s objednávka byla úspěšně zrušena."
"%s order(s) successfully put on hold","%s objednávka byla úspěšně pozdržena."
"%s order(s) successfully released from holding status","Objednávek úspěšně převedených ze stavu pozdrženo: %s"
"* - Enter custom price excluding tax","* - zadejte vlastní cenu bez daně"
"* - Enter custom price including tax","* - zadejte vlastní cenu obsahují daň"
"About This Order:","O objednávce:"
"About Your Order","O Vaší objednávce"
"Account Information","Informace o účtu"
"Action","Akce"
"Actions","Akce"
"Add","Přidat"
"Add Gift Messsage","Přidat přání k dárku"
"Add New Address","Přidat novou adresu"
"Add Order Comments","Přidat komentář k objednávce"
"Add Products","Přidat produkty"
"Add Selected Product(s) to Option","Přidat označené produkty do možností"
"Add Selected Product(s) to Order","Přidat označené do objednávky"
"Add To Order","Přidat do objednávky"
"Add Tracking Number","Přidat číslo na sledování zakázky"
"Add a gift message for <strong>each gift item</strong>","Přidat přání ke <strong>každé položce dárku</strong>"
"Add a gift message for the <strong>entire order</strong>","Přidat přání k <strong>celé objednávce</strong>"
"Add comment to order","Přidat komentář k objednávce"
"Add new comment to shipment","Přidat nový komentář k zásilce"
"Add new tracking number","Přidat číslo na sledování zakázky"
"Add to Cart","Přidat do košíku"
"Address","Adresa"
"Address model is not defined","Model adres není specifikován."
"Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract","Adress total model by měl být rozšířen z Mage_Sales_Model_Quote_Address_Total_Abstract"
"Adjustment Fee","Úprava poplatků"
"Adjustment Refund","Upravit splátku"
"Allow Reorder","Povolit znovuobjednání"
"Amount","Částka"
"Amount of %s pending approval on gateway.","Částka %s čeká na schválení platební bránou."
"Amount: %s.","Množství: %s."
"Append Comments","Přidat komentáře"
"Apply","Použít"
"Apply Coupon Code","Použít kód kupónu"
"Are you sure you want to cancel this order?","Jste si jisti, že chcete zrušit tuto objednávku?"
"Are you sure you want to send Creditmemo email to customer?","Jste si jisti, že chcete zaslat email o dobropisu zákazníkovi?"
