"Costs for inland shipping","Costs for inland shipping"
"Costs for shipping to foreign countries","Costs for shipping to foreign countries"
"Custom text for checkout page","Custom text for checkout page"
"Cash on Delivery","Dobírka"
"Cash on Delivery fee","Poplatek k dobírce"
"You will be charged an extra fee of %s","Poplatek za dobírku: %s"
"Incl. Tax","Incl. Tax"
"Cash on Delivery fee (Excl.Tax)","Cash on Delivery fee (Excl.Tax)"
"Cash on Delivery fee (Incl.Tax)","Cash on Delivery fee (Incl.Tax)"
"Cash on Delivery fee %s","Poplatek za dobírku: %s"
"Refund Cash on Delivery fee","Vrátit peníze za dobírku"
